Country,Inflation
Aruba,0.1
Afghanistan,5.06
Albania,2.04
United Arab Emirates,-0.02
Armenia,7.18
Antigua and Barbuda,1.19
Australia,2.86
Austria,2.77
Azerbaijan,6.65
Belgium,2.44
Benin,5.92
Burkina Faso,3.85
Bangladesh,5.31
Bulgaria,2.79
Bahrain,-0.61
"Bahamas, The",2.02
Bosnia and Herzegovina,1.98
Belarus,9.46
Belize,3.26
Bolivia,0.74
Brazil,8.3
Barbados,3.65
Brunei Darussalam,1.74
Bhutan,7.33
Botswana,7.24
Central African Republic,3.34
Cayman Islands,0.76
Canada,3.4
Switzerland,0.58
Chile,4.52
China,0.9
C™te d'Ivoire,4.09
Cameroon,2.27
"Congo, Dem. Rep.",10.89
"Congo, Rep.",1.97
Colombia,3.5
Comoros,0.32
Cabo Verde,1.2
Costa Rica,1.73
Cyprus,0.49
Czech Republic,3.84
Germany,3.14
Djibouti,2.35
Dominica,0.52
Denmark,1.85
Dominican Republic,8.24
Algeria,7.23
Ecuador,0.13
"Egypt, Arab Rep.",5.21
Eritrea,2.9
Spain,3.09
Estonia,4.65
Finland,2.19
Fiji,0.16
France,1.64
"Micronesia, Fed. Sts.",1.93
Gabon,1.13
United Kingdom,2.5
Georgia,9.57
Ghana,9.97
Guinea,12.6
"Gambia, The",7.37
Guinea-Bissau,3.25
Equatorial Guinea,-0.1
Greece,1.22
Grenada,1.22
Guatemala,4.26
Guyana,5.03
"Hong Kong SAR, China",1.57
Honduras,4.48
Croatia,2.55
Haiti,16.84
Hungary,5.11
Indonesia,1.56
India,4.89
Ireland,2.36
Iceland,4.44
Israel,1.49
Italy,1.87
Jamaica,5.86
Jordan,1.35
Japan,-0.23
Kazakhstan,6.42
Kenya,6.11
Kyrgyz Republic,11.91
Cambodia,2.92
Kiribati,1.76
St. Kitts and Nevis,1.2
"Korea, Rep.",2.5
Kuwait,3.42
Lao PDR,3.76
Liberia,10.86
St. Lucia,2.41
Sri Lanka,7.01
Lesotho,6.05
Lithuania,4.68
Luxembourg,2.53
Latvia,3.28
"Macao SAR, China",0.03
Morocco,1.4
Moldova,5.11
Madagascar,5.4
Maldives,0.54
Mexico,5.69
Marshall Islands,1.1
"Macedonia, FYR",3.23
Mali,3.93
Malta,1.5
Myanmar,5.03
Montenegro,2.41
Mongolia,7.1
Mozambique,5.69
Mauritania,2.41
Mauritius,4.03
Malawi,9.47
Malaysia,2.48
Namibia,3.62
Niger,3.84
Nigeria,16.95
Nicaragua,4.93
Netherlands,2.68
Norway,3.48
Nepal,4.09
Nauru,1.2
New Zealand,3.94
Oman,1.55
Pakistan,9.5
Panama,1.63
Peru,4.27
Philippines,3.93
Palau,2.66
Papua New Guinea,4.49
Poland,5.1
Puerto Rico,2.48
Portugal,1.27
Paraguay,4.79
West Bank and Gaza,1.24
Qatar,2.3
Romania,5.05
Russian Federation,6.69
Rwanda,-0.39
Saudi Arabia,3.06
Senegal,2.18
Singapore,2.3
Solomon Islands,2.65
Sierra Leone,11.87
El Salvador,3.47
San Marino,0.76
Serbia,4.09
South Sudan,40
Slovak Republic,3.15
Slovenia,1.92
Sweden,2.16
Swaziland,4.55
Seychelles,9.77
Chad,-0.77
Togo,4.55
Thailand,1.23
Tajikistan,8.92
Turkmenistan,7.95
Tonga,-0.15
Trinidad and Tobago,2.06
Tunisia,5.71
Turkey,19.6
Tuvalu,2.85
Tanzania,3.69
Uganda,2.21
Ukraine,9.36
Uruguay,7.75
United States of America,4.7
Uzbekistan,10.69
St. Vincent and the Grenadines,1.41
Vietnam,1.83
Vanuatu,2.39
Samoa,3.13
"Yemen, Rep.",30.61
South Africa,4.61
Zambia,22.02
Zimbabwe,98.55
