"Year","Category","CPI Annual Movement"
2003,"Goods..RHS.....points.",1.3
2003,"Services..RHS.....points.",1.2
2004,"Goods..RHS.....points.",1.2
2004,"Services..RHS.....points.",1.2
2005,"Goods..RHS.....points.",1.5
2005,"Services..RHS.....points.",1.3
2006,"Goods..RHS.....points.",2.2
2006,"Services..RHS.....points.",1.4
2007,"Goods..RHS.....points.",0.9
2007,"Services..RHS.....points.",1.4
2008,"Goods..RHS.....points.",2.2
2008,"Services..RHS.....points.",2.2
2009,"Goods..RHS.....points.",1
2009,"Services..RHS.....points.",0.8
2010,"Goods..RHS.....points.",1.5
2010,"Services..RHS.....points.",1.4
2011,"Goods..RHS.....points.",2
2011,"Services..RHS.....points.",2
2012,"Goods..RHS.....points.",0.2
2012,"Services..RHS.....points.",1.6
2013,"Goods..RHS.....points.",0.9
2013,"Services..RHS.....points.",1.6
2014,"Goods..RHS.....points.",1.2
2014,"Services..RHS.....points.",1.3
2015,"Goods..RHS.....points.",0.4
2015,"Services..RHS.....points.",1.2
2016,"Goods..RHS.....points.",0.5
2016,"Services..RHS.....points.",0.8
2017,"Goods..RHS.....points.",1.2
2017,"Services..RHS.....points.",0.8
2018,"Goods..RHS.....points.",1.1
2018,"Services..RHS.....points.",0.8
2019,"Goods..RHS.....points.",0.9
2019,"Services..RHS.....points.",0.8
2020,"Goods..RHS.....points.",0.9
2020,"Services..RHS.....points.",-0.1
2021,"Goods..RHS.....points.",1.6
2021,"Services..RHS.....points.",1.3
